label,network,network_advertiser_id,partner_name,partner_url,logo_url,category,code,description,end_date,points_cost,status
myfruits-snacktime15,awin,103075,myfruits,myfruits.eu,,Food/Drink,Snacktime15,Natürlich snacken & sparen – Gesunde Snacks jetzt günstiger,2026-03-31,50,active
wellnesspoint-wellness10,awin,115411,Wellness Point,wellness-point.com,https://ui.awin.com/images/upload/merchant/profile/115411.png,Wellness & Therme,WELLNESS10,10% Rabatt auf den gesamten Einkauf – Lieblingsprodukte in den Warenkorb legen und Code einlösen. Nicht mit anderen Aktionen kombinierbar.,2026-12-31,50,active
100pp-praw264,awin,13991,100% Pure,100percentpure.de,,Health/Beauty,PrAw264,10% Gutschein + Kostenlose Lieferung – Der Neujahrsgutschein von 100% Pure,2026-03-31,50,active
100pp-praw834,awin,13991,100% Pure,100percentpure.de,,Health/Beauty,PrAw834,6€ Gutschein + Kostenlose Lieferung – Der Neujahrsgutschein von 100% Pure,2026-03-31,30,active
