"voucherId";"programId";"programName";"title";"shortDescription";"description";"code";"voucherTypeId";"voucherType";"defaultTrackUri";"siteSpecific";"exclusive";"landingUrl";"discountAmount";"isPercentage";"publisherInformation";"languageId";"currencyId";"logoPath";"startDate";"endDate";"lastUpdated";"publishStartDate";"publishEndDate"
"13087287";"393291";"Qathu AT";"4QATHU Spare 4% bei Qathu AT";"4QATHU  Spare 4% bei Qathu AT bis 25/11/2026";"4QATHU  Spare 4% bei Qathu AT bis 25/11/2026";"";"2";"Discount";"https://clk.tradedoubler.com/click?a(3478682)p(393291)ttid(13)";"false";"false";"";"4";"true";"";"de";"EUR";"";"2025-11-26 00:00";"2026-11-25 00:00";"2025-11-26 11:55";"2025-10-26 00:00";"2026-11-25 00:00"
"13084790";"392977";"Papique AT";"4RARE  Spare 4% bei Papique AT -";"Spare 4% bei Papique AT bis 05/11/2026";"Spare 4% bei Papique AT bis 05/11/2026";"";"2";"Discount";"https://clk.tradedoubler.com/click?a(3478682)p(392977)ttid(13)";"false";"false";"";"4";"true";"";"de";"EUR";"";"2025-11-06 00:00";"2026-11-05 00:00";"2025-11-06 18:44";"2025-10-06 00:00";"2026-11-05 00:00"
"13083591";"392909";"OneBioShop AT";"4CART CODE Spare 4% bei OneBioShop AT";"Spare 4% bei OneBioShop AT bis 03/11/2026";"Spare 4% bei OneBioShop AT bis 03/11/2026";"";"2";"Discount";"https://clk.tradedoubler.com/click?a(3478682)p(392909)ttid(13)";"false";"false";"";"4";"true";"";"de";"EUR";"";"2025-11-04 00:00";"2026-11-03 00:00";"2025-11-04 07:31";"2025-10-04 00:00";"2026-11-03 00:00"
