"id";"name";"countryCode";"closedProgram";"paused";"categoryIds:0";"categoryIds:1";"categoryNames:0";"categoryNames:1";"logoUrl";"prepayment";"createdDate";"startDate";"statusId";"statusName";"avgEpc";"avgPaymentDays";"avgCancellationRate";"productFeed";"keywordPolicyId";"implementationTypeId";"autoAccept";"daysToAutoAccept";"applicationDate";"updatedDate";"cpc";"cpuv";"cpl";"cpa";"showPerformance";"acceptClaims";"currencyCode";"homePage";"deepLinking";"vouchers";"endingReasonId";"endingReason"
"383730";"About You AT";"AT";"false";"false";"7";"16";"Fashion";"Shopping & Retail";"https://hst.tradedoubler.com/file/383730/common/p-d11a7fef191fe1fb163d266fc195634e.png";"false";"2025-07-04 10:34";"2025-07-04 00:00";"0";"NONE";"59.12";"55";"0.23";"true";"0";"3";"false";"";"";"";"false";"false";"false";"true";"true";"false";"EUR";"https://www.aboutyou.at";"true";"false";"";""
"294885";"AliExpress";"AT";"false";"false";"16";"";"Shopping & Retail";"";"http://hst.tradedoubler.com/file/285835/aliexpress-logo-200.jpg";"false";"2018-11-19 00:00";"2018-11-19 00:00";"0";"NONE";"6.61";"10";"0.03";"false";"3";"3";"false";"";"";"";"false";"false";"false";"true";"true";"true";"USD";"http://s.click.aliexpress.com/e/bcD5yXUy?dp=^^&af=[td_affiliate_id]";"true";"false";"";""
"331694";"Alps Resorts";"AT";"false";"false";"11";"";"Travel";"";"https://hst.tradedoubler.com/file/331693/Logo/Logo_200x70.png";"false";"2022-08-05 16:59";"2022-08-05 00:00";"0";"NONE";"167.9";"4";"0.55";"false";"0";"3";"false";"";"";"";"false";"false";"false";"true";"true";"true";"EUR";"https://www.alps-resorts.com/";"true";"false";"";""
"308972";"ArmedAngels AT";"AT";"false";"false";"7";"";"Fashion";"";"https://hst.tradedoubler.com/file/308972/common/p-ba551cce2f3861211c33d4eb57f64c43.jpg";"false";"2020-09-21 00:00";"2020-10-01 00:00";"0";"NONE";"5.43";"38";"0.13";"true";"0";"3";"false";"";"";"";"false";"false";"false";"true";"true";"true";"EUR";"https://www.armedangels.com/de-de";"true";"false";"";""
"364991";"Audible DACH";"AT";"false";"false";"13";"16";"Media & Entertainment";"Shopping & Retail";"https://hst.tradedoubler.com/file/364592/audible_logo._CB298758964_.svg";"false";"2024-11-15 17:18";"2024-11-15 00:00";"0";"NONE";"2.02";"4";"0";"false";"0";"3";"false";"";"";"";"false";"false";"true";"true";"false";"true";"EUR";"https://c.trackmytarget.com/?a=05r4f0&i=js7imp";"true";"true";"";""
"301929";"Austrian Airlines AT";"AT";"false";"false";"11";"";"Travel";"";"http://hst.tradedoubler.com/file/301928/AustralianLogo200x70.jpg";"false";"2019-10-10 00:00";"2020-01-13 00:00";"0";"NONE";"70.74";"21";"0.03";"false";"3";"3";"false";"";"";"";"false";"false";"false";"true";"true";"true";"EUR";"https://www.austrian.com/at/de/homepage?utm_medium=affiliate&utm_source=tradedoubler&utm_campaign=os_at_de_none_desktop&utm_content=x-text&utm_term=artefact_[td_affiliate_id]_";"false";"false";"";""
"344323";"Autodoc AT";"AT";"false";"false";"19";"";"Automotive";"";"https://hst.tradedoubler.com/file/344350/Logo_200x60.png";"false";"2023-07-03 09:14";"2023-07-03 00:00";"0";"NONE";"42.02";"26";"0.1";"true";"0";"3";"false";"";"";"";"false";"false";"false";"true";"true";"true";"EUR";"https://www.auto-doc.at/";"true";"true";"";""
"282887";"Barcelo Hotels & Resorts AT";"AT";"false";"false";"11";"";"Travel";"";"http://hst.tradedoubler.com/file/282887/barcelo200.jpg";"false";"2017-08-07 00:00";"2017-10-02 00:00";"0";"NONE";"0";"32";"0.17";"false";"3";"2";"false";"4";"";"";"false";"false";"false";"true";"true";"true";"EUR";"https://ad.doubleclick.net/ddm/trackclk/N79604.155530AFFILIATE.TRADEDOUB/B27261478.328902977;dc_trk_aid=520970673;dc_trk_cid=164999482;u=0000_[td_affiliate_id]_[td_epi2];site=[td_affiliate_id]_[td_epi2];dtduid=[td_guid];dc_lat=;dc_rdid=;tag_for_child_directed_treatment=;tfua=;ltd=";"true";"true";"";""
"205150";"Betclic";"AT";"false";"false";"1";"";"Gaming";"";"";"true";"2011-04-13 00:00";"2011-04-13 00:00";"0";"NONE";"0";"0";"0";"false";"0";"3";"false";"";"";"";"false";"false";"false";"false";"true";"true";"EUR";"http://www.betclic.de";"true";"false";"";""
"346342";"Bonprix AT";"AT";"false";"false";"7";"";"Fashion";"";"https://hst.tradedoubler.com/file/346342/common/p-200072fc65aaf6186a8fc0f66a784d7c.jpg";"false";"2023-09-05 08:47";"2023-09-05 00:00";"0";"NONE";"38.4";"19";"0.12";"true";"2";"3";"false";"";"";"";"false";"false";"false";"true";"true";"true";"EUR";"https://www.bonprix.at/";"true";"true";"";""
